time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.523,204.8,38.232,3.483,45.926,0x04,0x0E,DISCHARGING
2002,3.445,207.2,38.232,3.421,45.926,0x04,0x0E,DISCHARGING
4004,3.426,217.6,38.351,3.39,45.133,0x04,0x0E,DISCHARGING
6006,3.401,210.8,38.351,3.371,45.133,0x04,0x0E,DISCHARGING
8008,3.377,210.0,38.351,3.365,45.133,0x04,0x0E,DISCHARGING
10009,3.367,217.6,38.351,3.34,45.133,0x04,0x0E,DISCHARGING
12011,3.362,215.2,38.47,3.327,45.133,0x04,0x0E,DISCHARGING
14012,3.362,215.6,38.47,3.321,45.133,0x04,0x0E,DISCHARGING
16014,3.362,202.4,38.47,3.315,44.34,0x04,0x0E,DISCHARGING
18016,3.357,215.6,38.47,3.309,44.34,0x04,0x0E,DISCHARGING
20018,3.343,219.2,38.47,3.296,44.34,0x04,0x0E,DISCHARGING
22022,3.323,218.4,38.47,3.296,44.34,0x04,0x0E,DISCHARGING
24026,3.323,224.0,38.589,3.29,44.34,0x04,0x0E,DISCHARGING
26030,3.323,219.6,38.589,3.284,44.34,0x04,0x0E,DISCHARGING
28392,3.362,100.4,38.47,3.346,43.548,0x04,0x0E,DISCHARGING
30393,3.362,104.0,38.47,3.346,44.34,0x04,0x0E,DISCHARGING
32395,3.362,102.8,38.351,3.346,44.34,0x04,0x0E,DISCHARGING
34398,3.362,104.0,38.351,3.346,43.548,0x04,0x0E,DISCHARGING
36401,3.362,104.4,38.351,3.346,43.548,0x04,0x0E,DISCHARGING
38403,3.372,100.4,38.351,3.346,43.548,0x04,0x0E,DISCHARGING
40406,3.367,104.0,38.232,3.34,43.548,0x04,0x0E,DISCHARGING
42408,3.347,101.6,38.232,3.346,43.548,0x04,0x0E,DISCHARGING
44409,3.347,102.0,38.232,3.34,42.755,0x04,0x0E,DISCHARGING
46410,3.347,101.6,38.232,3.34,43.548,0x04,0x0E,DISCHARGING
48411,3.343,101.6,38.232,3.333,42.755,0x04,0x0E,DISCHARGING
50413,3.343,106.0,38.232,3.34,42.755,0x04,0x0E,DISCHARGING
52415,3.343,104.0,38.114,3.34,42.755,0x04,0x0E,DISCHARGING
54418,3.352,104.0,38.114,3.34,42.755,0x04,0x0E,DISCHARGING
56421,3.343,104.0,38.114,3.333,42.755,0x04,0x0E,DISCHARGING
58424,3.338,102.8,37.995,3.333,42.755,0x04,0x0E,DISCHARGING
60428,3.338,104.4,38.114,3.333,42.755,0x04,0x0E,DISCHARGING
62431,3.338,100.4,37.995,3.327,42.755,0x04,0x0E,DISCHARGING
64433,3.333,100.4,37.995,3.333,41.963,0x04,0x0E,DISCHARGING
66437,3.343,100.4,37.995,3.327,42.755,0x04,0x0E,DISCHARGING
68441,3.357,102.4,37.995,3.327,41.963,0x04,0x0E,DISCHARGING
70445,3.333,102.8,37.995,3.327,42.755,0x04,0x0E,DISCHARGING
72449,3.343,103.6,37.995,3.327,41.963,0x04,0x0E,DISCHARGING
74452,3.333,98.4,37.995,3.327,41.963,0x04,0x0E,DISCHARGING
76456,3.328,104.0,37.877,3.327,41.963,0x04,0x0E,DISCHARGING
78457,3.343,103.2,37.877,3.327,41.963,0x04,0x0E,DISCHARGING
80460,3.333,101.6,37.877,3.333,41.963,0x04,0x0E,DISCHARGING
82464,3.343,102.8,37.995,3.327,41.963,0x04,0x0E,DISCHARGING
84468,3.328,101.6,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
86471,3.343,104.4,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
88475,3.328,104.0,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
90479,3.343,100.4,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
92483,3.323,101.6,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
94487,3.328,104.0,37.877,3.321,41.963,0x04,0x0E,DISCHARGING
96491,3.333,106.0,37.759,3.321,41.963,0x04,0x0E,DISCHARGING
98494,3.333,107.6,37.759,3.321,41.963,0x04,0x0E,DISCHARGING
100498,3.333,91.6,37.759,3.315,41.17,0x04,0x0E,DISCHARGING
102502,3.328,103.2,37.759,3.327,41.963,0x04,0x0E,DISCHARGING
104503,3.323,102.4,37.759,3.321,41.17,0x04,0x0E,DISCHARGING
106507,3.323,100.8,37.759,3.315,41.17,0x04,0x0E,DISCHARGING
108511,3.323,100.4,37.759,3.315,41.17,0x04,0x0E,DISCHARGING
110515,3.323,105.6,37.759,3.315,41.963,0x04,0x0E,DISCHARGING
112517,3.323,105.6,37.759,3.321,41.17,0x04,0x0E,DISCHARGING
114519,3.323,102.4,37.759,3.315,41.17,0x04,0x0E,DISCHARGING
116523,3.343,92.8,37.641,3.315,41.17,0x04,0x0E,DISCHARGING
118526,3.323,100.4,37.641,3.321,41.17,0x04,0x0E,DISCHARGING
120529,3.323,104.8,37.641,3.315,41.17,0x04,0x0E,DISCHARGING
122533,3.323,103.2,37.641,3.309,41.17,0x04,0x0E,DISCHARGING
124535,3.323,106.0,37.641,3.309,41.17,0x04,0x0E,DISCHARGING
126538,3.323,106.4,37.641,3.315,41.17,0x04,0x0E,DISCHARGING
128540,3.333,101.6,37.641,3.315,41.17,0x04,0x0E,DISCHARGING
130544,3.328,89.2,37.641,3.309,41.17,0x04,0x0E,DISCHARGING
132548,3.323,104.0,37.524,3.321,41.17,0x04,0x0E,DISCHARGING
134552,3.323,104.0,37.524,3.315,41.17,0x04,0x0E,DISCHARGING
136555,3.323,101.2,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
138557,3.323,104.0,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
140560,3.323,100.4,37.524,3.302,41.17,0x04,0x0E,DISCHARGING
142564,3.323,102.4,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
144566,3.323,102.0,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
146570,3.328,104.0,37.524,3.309,40.377,0x04,0x0E,DISCHARGING
148574,3.323,92.8,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
150578,3.323,102.0,37.524,3.315,41.17,0x04,0x0E,DISCHARGING
152582,3.323,102.0,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
154586,3.323,106.0,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
156590,3.333,108.8,37.524,3.309,41.17,0x04,0x0E,DISCHARGING
158594,3.323,106.0,37.406,3.309,40.377,0x04,0x0E,DISCHARGING
160598,3.323,101.2,37.406,3.309,41.17,0x04,0x0E,DISCHARGING
162602,3.323,102.4,37.406,3.302,40.377,0x04,0x0E,DISCHARGING
164605,3.323,102.8,37.406,3.309,40.377,0x04,0x0E,DISCHARGING
166609,3.323,98.4,37.406,3.309,40.377,0x04,0x0E,DISCHARGING
168613,3.323,102.8,37.406,3.309,40.377,0x04,0x0E,DISCHARGING
170614,3.328,100.4,37.406,3.315,40.377,0x04,0x0E,DISCHARGING
172617,3.323,102.0,37.406,3.302,40.377,0x04,0x0E,DISCHARGING
174619,3.323,106.0,37.406,3.302,40.377,0x04,0x0E,DISCHARGING
176623,3.313,100.4,37.406,3.302,40.377,0x04,0x0E,DISCHARGING
178627,3.323,106.0,37.406,3.302,40.377,0x04,0x0E,DISCHARGING
180631,3.323,102.0,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
182633,3.313,102.8,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
184637,3.323,101.6,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
186641,3.323,92.8,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
188645,3.308,98.4,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
190647,3.308,104.4,37.289,3.296,41.17,0x04,0x0E,DISCHARGING
192650,3.323,105.6,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
194654,3.304,100.4,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
196657,3.308,103.2,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
198660,3.323,106.0,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
200662,3.333,91.6,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
202666,3.308,104.0,37.289,3.309,40.377,0x04,0x0E,DISCHARGING
204669,3.318,104.4,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
206673,3.323,102.0,37.289,3.296,40.377,0x04,0x0E,DISCHARGING
208675,3.304,108.8,37.289,3.302,40.377,0x04,0x0E,DISCHARGING
210679,3.304,101.6,37.289,3.296,40.377,0x04,0x0E,DISCHARGING
212683,3.304,102.0,37.289,3.29,40.377,0x04,0x0E,DISCHARGING
214687,3.304,102.0,37.289,3.296,40.377,0x04,0x0E,DISCHARGING
216689,3.313,104.0,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
218693,3.323,94.4,37.289,3.29,40.377,0x04,0x0E,DISCHARGING
220696,3.304,98.8,37.289,3.296,40.377,0x04,0x0E,DISCHARGING
222700,3.313,106.0,37.289,3.296,40.377,0x04,0x0E,DISCHARGING
224703,3.304,104.0,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
226705,3.304,107.6,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
228708,3.304,100.4,37.289,3.29,40.377,0x04,0x0E,DISCHARGING
230712,3.304,104.0,37.172,3.29,40.377,0x04,0x0E,DISCHARGING
232715,3.299,102.0,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
234718,3.308,91.2,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
236721,3.299,102.8,37.172,3.29,40.377,0x04,0x0E,DISCHARGING
238725,3.299,108.8,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
240729,3.313,104.4,37.172,3.29,40.377,0x04,0x0E,DISCHARGING
242733,3.318,104.0,37.172,3.29,40.377,0x04,0x0E,DISCHARGING
244737,3.299,104.0,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
246741,3.299,106.0,37.172,3.296,40.377,0x04,0x0E,DISCHARGING
248745,3.299,104.0,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
250748,3.304,105.6,37.172,3.29,40.377,0x04,0x0E,DISCHARGING
252750,3.299,96.8,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
254754,3.294,87.6,37.055,3.296,40.377,0x04,0x0E,DISCHARGING
256758,3.294,105.6,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
258761,3.294,102.0,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
260765,3.294,102.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
262769,3.294,104.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
264773,3.304,106.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
266777,3.304,107.6,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
268779,3.294,106.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
270781,3.304,95.6,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
272784,3.299,104.0,37.055,3.296,40.377,0x04,0x0E,DISCHARGING
274788,3.289,101.6,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
276792,3.304,100.4,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
278796,3.294,102.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
280798,3.304,102.8,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
282802,3.294,100.4,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
284806,3.294,100.4,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
286809,3.289,107.6,37.055,3.284,39.585,0x04,0x0E,DISCHARGING
288811,3.294,89.2,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
290814,3.304,106.0,37.055,3.29,40.377,0x04,0x0E,DISCHARGING
292818,3.284,103.2,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
294822,3.294,103.6,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
296825,3.313,108.8,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
298829,3.284,115.2,37.055,3.277,40.377,0x04,0x0E,DISCHARGING
300832,3.284,102.0,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
302835,3.304,104.0,37.055,3.277,40.377,0x04,0x0E,DISCHARGING
304839,3.284,106.0,37.055,3.284,40.377,0x04,0x0E,DISCHARGING
306843,3.289,104.0,36.939,3.284,40.377,0x04,0x0E,DISCHARGING
308846,3.284,106.0,36.939,3.29,40.377,0x04,0x0E,DISCHARGING
310850,3.284,108.8,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
312852,3.289,104.0,36.939,3.277,39.585,0x04,0x0E,DISCHARGING
314855,3.284,105.6,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
316859,3.294,106.0,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
318862,3.294,108.8,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
320866,3.284,102.0,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
322869,3.284,103.6,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
324872,3.289,96.0,36.939,3.271,40.377,0x04,0x0E,DISCHARGING
326876,3.284,100.4,36.939,3.277,40.377,0x04,0x0E,DISCHARGING
329237,3.269,135.2,36.939,3.252,40.377,0x04,0x0E,DISCHARGING
331239,3.269,136.4,37.055,3.259,40.377,0x04,0x0E,DISCHARGING
333241,3.264,135.2,36.939,3.252,40.377,0x04,0x0E,DISCHARGING
335243,3.264,132.8,36.939,3.259,40.377,0x04,0x0E,DISCHARGING
337245,3.264,138.4,36.939,3.252,40.377,0x04,0x0E,DISCHARGING
339247,3.269,135.6,37.055,3.252,40.377,0x04,0x0E,DISCHARGING
341248,3.264,136.0,36.939,3.246,40.377,0x04,0x0E,DISCHARGING
343250,3.269,133.2,36.939,3.259,40.377,0x04,0x0E,DISCHARGING
345252,3.284,136.8,37.055,3.259,40.377,0x04,0x0E,DISCHARGING
347254,3.264,135.6,36.939,3.252,40.377,0x04,0x0E,DISCHARGING
349256,3.264,135.6,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
351258,3.264,133.2,37.055,3.252,40.377,0x04,0x0E,DISCHARGING
353260,3.269,136.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
355261,3.264,132.4,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
357261,3.264,135.2,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
359263,3.264,131.6,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
361267,3.264,135.2,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
363268,3.294,122.8,37.055,3.252,40.377,0x04,0x0E,DISCHARGING
365272,3.269,136.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
367275,3.264,136.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
369279,3.289,140.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
371280,3.264,136.0,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
373284,3.255,135.6,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
375287,3.26,136.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
377291,3.264,138.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
379293,3.255,140.8,37.055,3.252,40.377,0x04,0x0E,DISCHARGING
381296,3.255,133.6,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
383299,3.26,135.2,36.939,3.246,40.377,0x04,0x0E,DISCHARGING
385303,3.255,142.4,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
387306,3.255,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
389307,3.26,139.2,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
391311,3.255,140.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
393315,3.264,126.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
395319,3.255,138.4,37.055,3.252,40.377,0x04,0x0E,DISCHARGING
397323,3.26,135.2,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
399326,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
401330,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
403334,3.255,138.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
405336,3.26,135.2,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
407340,3.255,138.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
409344,3.264,140.8,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
411347,3.26,136.0,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
413349,3.26,138.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
415353,3.255,135.6,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
417357,3.255,138.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
419360,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
421363,3.284,138.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
423366,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
425369,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
427373,3.255,133.2,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
429377,3.274,123.2,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
431380,3.274,134.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
433383,3.255,137.6,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
435385,3.274,138.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
437389,3.26,138.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
439393,3.26,138.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
441396,3.255,138.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
443400,3.264,136.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
445403,3.264,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
447405,3.255,134.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
449409,3.25,140.8,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
451412,3.284,136.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
453415,3.255,140.8,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
455416,3.25,142.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
457420,3.274,140.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
459423,3.25,134.0,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
461427,3.274,138.0,37.055,3.246,40.377,0x04,0x0E,DISCHARGING
463431,3.255,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
465433,3.255,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
467437,3.25,140.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
469439,3.25,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
471440,3.255,138.4,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
473442,3.25,142.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
475445,3.255,136.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
477448,3.25,133.2,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
479450,3.255,137.6,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
481454,3.26,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
483458,3.255,135.6,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
485462,3.25,135.2,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
487464,3.26,123.6,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
489466,3.25,136.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
491470,3.25,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
493474,3.25,135.2,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
495476,3.25,144.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
497478,3.25,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
499482,3.25,139.6,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
501484,3.255,133.2,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
503487,3.25,135.2,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
505491,3.255,135.2,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
507495,3.25,133.2,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
509498,3.264,140.8,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
511502,3.245,132.4,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
513506,3.255,137.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
515510,3.264,140.8,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
517514,3.25,136.8,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
519518,3.25,140.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
521522,3.279,142.4,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
523526,3.255,124.8,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
525529,3.245,134.0,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
527533,3.255,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
529537,3.255,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
531540,3.25,134.0,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
533542,3.25,140.8,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
535546,3.25,136.8,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
537550,3.274,134.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
539552,3.245,134.0,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
541556,3.25,127.2,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
543560,3.245,140.0,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
545563,3.279,138.0,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
547566,3.264,142.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
549570,3.245,140.8,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
551572,3.25,137.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
553576,3.25,140.8,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
555580,3.245,136.8,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
557583,3.245,135.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
559585,3.245,136.0,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
561588,3.25,132.4,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
563591,3.25,133.2,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
565595,3.274,137.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
567599,3.264,135.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
569603,3.255,133.2,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
571606,3.25,136.0,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
573609,3.25,132.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
575611,3.245,134.0,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
577615,3.245,138.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
579619,3.25,139.6,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
581623,3.284,140.8,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
583626,3.245,135.6,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
585630,3.245,142.4,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
587634,3.255,138.0,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
589636,3.25,134.0,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
591640,3.26,142.4,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
593644,3.255,124.8,37.055,3.24,41.17,0x04,0x0E,DISCHARGING
595646,3.26,134.0,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
597650,3.264,135.2,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
599654,3.245,138.8,37.055,3.228,40.377,0x04,0x0E,DISCHARGING
601657,3.245,137.6,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
603659,3.25,140.8,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
605662,3.245,138.4,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
607666,3.264,138.0,37.055,3.228,40.377,0x04,0x0E,DISCHARGING
609670,3.25,126.4,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
611674,3.25,138.4,37.055,3.24,40.377,0x04,0x0E,DISCHARGING
613678,3.245,139.6,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
615682,3.245,138.4,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
617686,3.25,136.0,37.055,3.234,41.17,0x04,0x0E,DISCHARGING
619690,3.245,138.4,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
621694,3.245,137.6,37.055,3.234,40.377,0x04,0x0E,DISCHARGING
623698,3.245,144.4,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
625702,3.245,136.8,37.172,3.234,40.377,0x04,0x0E,DISCHARGING
627704,3.25,141.2,37.172,3.234,41.17,0x04,0x0E,DISCHARGING
630064,3.245,182.4,37.172,3.209,41.17,0x04,0x0E,DISCHARGING
632065,3.245,179.2,37.172,3.209,41.17,0x04,0x0E,DISCHARGING
634067,3.245,172.4,37.172,3.209,41.17,0x04,0x0E,DISCHARGING
636068,3.245,171.6,37.172,3.209,41.17,0x04,0x0E,DISCHARGING
638069,3.25,171.2,37.172,3.209,41.17,0x04,0x0E,DISCHARGING
640071,3.25,175.2,37.289,3.209,40.377,0x04,0x0E,DISCHARGING
642073,3.235,175.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
644075,3.225,177.2,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
646077,3.245,175.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
648079,3.235,179.2,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
650082,3.225,175.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
652084,3.245,174.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
654086,3.23,175.6,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
656087,3.245,175.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
658089,3.225,174.0,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
660090,3.245,176.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
662091,3.23,174.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
664092,3.235,177.2,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
666093,3.235,179.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
668094,3.235,175.6,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
670095,3.245,175.2,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
672096,3.23,179.2,37.289,3.203,41.963,0x04,0x0E,DISCHARGING
674097,3.23,174.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
676099,3.225,172.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
678101,3.245,176.0,37.406,3.209,41.17,0x04,0x0E,DISCHARGING
680102,3.255,172.4,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
682105,3.245,161.6,37.289,3.215,41.17,0x04,0x0E,DISCHARGING
684107,3.245,171.6,37.289,3.209,41.17,0x04,0x0E,DISCHARGING
686109,3.235,174.0,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
688112,3.235,182.4,37.406,3.203,41.17,0x04,0x0E,DISCHARGING
690114,3.245,179.2,37.406,3.203,41.17,0x04,0x0E,DISCHARGING
692117,3.24,175.2,37.406,3.209,41.17,0x04,0x0E,DISCHARGING
694120,3.245,159.6,37.406,3.209,41.17,0x04,0x0E,DISCHARGING
696123,3.225,177.2,37.289,3.203,41.17,0x04,0x0E,DISCHARGING
