time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
000002156,2.922,-16.650,20.134,4.785,27.696,0x0C,0x0E,CHARGING
000004158,3.010,-185.175,20.235,4.617,35.622,0x0F,0x0E,CHARGING
000006160,3.020,-185.175,20.335,4.611,36.414,0x0F,0x0E,CHARGING
000008162,3.025,-185.175,20.435,4.611,38.000,0x0F,0x0E,CHARGING
000010163,3.035,-185.175,20.536,4.611,38.792,0x0F,0x0E,CHARGING
000012165,3.040,-185.400,20.636,4.605,39.585,0x0F,0x0E,CHARGING
000014167,3.040,-185.625,20.737,4.617,39.585,0x0F,0x0E,CHARGING
000016169,3.049,-185.625,20.737,4.611,40.377,0x0F,0x0E,CHARGING
000018171,3.049,-185.625,20.938,4.611,41.170,0x0F,0x0E,CHARGING
000020174,3.059,-185.400,21.038,4.611,41.170,0x0F,0x0E,CHARGING
000022178,3.059,-187.200,21.240,4.617,41.170,0x0F,0x0E,CHARGING
000024182,3.064,-185.625,21.340,4.617,41.963,0x0F,0x0E,CHARGING
000026185,3.064,-185.625,21.340,4.611,41.963,0x0F,0x0E,CHARGING
000028188,3.069,-185.625,21.542,4.611,42.755,0x0F,0x0E,CHARGING
000030190,3.074,-185.625,21.542,4.617,43.548,0x0F,0x0E,CHARGING
000032194,3.074,-185.625,21.744,4.611,43.548,0x0F,0x0E,CHARGING
000034198,3.079,-185.625,21.845,4.617,43.548,0x0F,0x0E,CHARGING
000036202,3.079,-185.850,21.946,4.617,43.548,0x0F,0x0E,CHARGING
000038206,3.084,-186.075,22.047,4.617,44.340,0x0F,0x0E,CHARGING
000040209,3.088,-185.850,22.148,4.623,44.340,0x0F,0x0E,CHARGING
000042211,3.088,-185.850,22.148,4.617,45.133,0x0F,0x0E,CHARGING
000044214,3.093,-186.300,22.350,4.611,44.340,0x0F,0x0E,CHARGING
000046218,3.093,-186.300,22.451,4.617,45.926,0x0F,0x0E,CHARGING
000048221,3.098,-186.075,22.552,4.617,45.133,0x0F,0x0E,CHARGING
000050224,3.098,-186.075,22.654,4.617,45.926,0x0F,0x0E,CHARGING
000052228,3.103,-185.850,22.755,4.617,45.926,0x0F,0x0E,CHARGING
000054231,3.103,-186.075,22.958,4.617,45.926,0x0F,0x0E,CHARGING
000056235,3.108,-186.075,22.958,4.630,45.926,0x0F,0x0E,CHARGING
000058238,3.108,-186.300,23.161,4.623,45.926,0x0F,0x0E,CHARGING
000060240,3.108,-186.075,23.161,4.623,46.718,0x0F,0x0E,CHARGING
000062244,3.113,-186.075,23.263,4.617,46.718,0x0F,0x0E,CHARGING
000064248,3.113,-186.300,23.364,4.617,46.718,0x0F,0x0E,CHARGING
000066249,3.118,-186.075,23.568,4.611,46.718,0x0F,0x0E,CHARGING
000068251,3.118,-186.300,23.568,4.617,46.718,0x0F,0x0E,CHARGING
000070254,3.123,-186.300,23.670,4.617,43.548,0x0F,0x0E,CHARGING
000072258,3.123,-186.300,23.772,4.611,46.718,0x0F,0x0E,CHARGING
000074262,3.128,-186.525,23.874,4.617,47.511,0x0F,0x0E,CHARGING
000076265,3.128,-186.525,23.976,4.617,47.511,0x0F,0x0E,CHARGING
000078269,3.128,-186.300,24.078,4.623,46.718,0x0F,0x0E,CHARGING
000080273,3.132,-186.525,24.180,4.617,47.511,0x0F,0x0E,CHARGING
000082277,3.132,-186.300,24.282,4.617,47.511,0x0F,0x0E,CHARGING
000084280,3.132,-186.525,24.384,4.617,47.511,0x0F,0x0E,CHARGING
000086283,3.137,-186.525,24.487,4.617,46.718,0x0F,0x0E,CHARGING
000088287,3.137,-186.525,24.589,4.617,47.511,0x0F,0x0E,CHARGING
000090289,3.142,-186.525,24.692,4.623,47.511,0x0F,0x0E,CHARGING
000092292,3.142,-186.300,24.794,4.617,48.303,0x0F,0x0E,CHARGING
000094296,3.142,-186.750,24.897,4.617,47.511,0x0F,0x0E,CHARGING
000096299,3.147,-186.525,24.897,4.617,48.303,0x0F,0x0E,CHARGING
000098301,3.147,-186.525,25.102,4.617,47.511,0x0F,0x0E,CHARGING
000100305,3.152,-186.750,25.102,4.617,47.511,0x0F,0x0E,CHARGING
000102309,3.147,-186.750,25.205,4.617,48.303,0x0F,0x0E,CHARGING
000104315,3.152,-109.842,25.205,4.617,47.511,0x0F,0x0E,CHARGING
000106318,3.157,-109.842,25.308,4.623,47.511,0x0F,0x0E,CHARGING
000108321,3.157,-110.107,25.411,4.630,47.511,0x0F,0x0E,CHARGING
000110325,3.157,-109.842,25.514,4.617,48.303,0x0F,0x0E,CHARGING
000112329,3.157,-109.842,25.617,4.617,48.303,0x0F,0x0E,CHARGING
000114333,3.162,-109.975,25.617,4.617,48.303,0x0F,0x0E,CHARGING
000116337,3.162,-109.975,25.824,4.617,48.303,0x0F,0x0E,CHARGING
000118341,3.167,-109.842,25.824,4.623,48.303,0x0F,0x0E,CHARGING
000120344,3.167,-109.975,25.927,4.617,48.303,0x0F,0x0E,CHARGING
000122346,3.167,-109.842,26.031,4.623,48.303,0x0F,0x0E,CHARGING
000124348,3.172,-109.842,26.031,4.617,48.303,0x0F,0x0E,CHARGING
000126352,3.172,-109.975,26.134,4.630,48.303,0x0F,0x0E,CHARGING
000128356,3.172,-109.975,26.134,4.617,48.303,0x0F,0x0E,CHARGING
000130358,3.172,-110.107,26.238,4.617,48.303,0x0F,0x0E,CHARGING
000132362,3.172,-109.975,26.341,4.617,48.303,0x0F,0x0E,CHARGING
000134366,3.176,-109.842,26.341,4.617,48.303,0x0F,0x0E,CHARGING
000136370,3.176,-109.975,26.341,4.617,48.303,0x0F,0x0E,CHARGING
000138373,3.181,-110.107,26.445,4.617,49.096,0x0F,0x0E,CHARGING
000140376,3.176,-110.240,26.549,4.617,48.303,0x0F,0x0E,CHARGING
000142379,3.186,-110.107,26.653,4.617,49.096,0x0F,0x0E,CHARGING
000144382,3.186,-109.975,26.653,4.623,49.096,0x0F,0x0E,CHARGING
000146384,3.186,-110.240,27.070,4.617,48.303,0x0F,0x0E,CHARGING
000148388,3.186,-109.975,26.757,4.617,48.303,0x0F,0x0E,CHARGING
000150392,3.191,-110.240,26.861,4.617,49.096,0x0F,0x0E,CHARGING
000152395,3.186,-110.107,26.965,4.617,48.303,0x0F,0x0E,CHARGING
000154399,3.191,-110.240,26.965,4.617,48.303,0x0F,0x0E,CHARGING
000156401,3.191,-110.240,27.070,4.617,49.096,0x0F,0x0E,CHARGING
000158404,3.196,-110.240,27.070,4.630,48.303,0x0F,0x0E,CHARGING
000160408,3.196,-109.975,27.174,4.617,48.303,0x0F,0x0E,CHARGING
000162411,3.196,-110.372,27.174,4.623,48.303,0x0F,0x0E,CHARGING
000164414,3.196,-110.107,27.174,4.617,48.303,0x0F,0x0E,CHARGING
000166418,3.201,-110.107,27.278,4.623,49.096,0x0F,0x0E,CHARGING
000168422,3.206,-109.975,27.278,4.617,48.303,0x0F,0x0E,CHARGING
000170426,3.201,-110.107,27.383,4.617,48.303,0x0F,0x0E,CHARGING
000172430,3.206,-110.372,27.383,4.617,48.303,0x0F,0x0E,CHARGING
000174433,3.211,-110.240,27.488,4.611,48.303,0x0F,0x0E,CHARGING
000176436,3.206,-109.577,27.488,4.617,48.303,0x0F,0x0E,CHARGING
000178440,3.206,-110.107,27.488,4.630,48.303,0x0F,0x0E,CHARGING
000180444,3.211,-110.240,27.592,4.617,48.303,0x0F,0x0E,CHARGING
000182446,3.211,-110.240,27.592,4.617,48.303,0x0F,0x0E,CHARGING
000184448,3.211,-110.240,27.697,4.623,48.303,0x0F,0x0E,CHARGING
000186452,3.216,-110.372,27.697,4.623,48.303,0x0F,0x0E,CHARGING
000188456,3.211,-110.107,27.697,4.623,48.303,0x0F,0x0E,CHARGING
000190460,3.216,-110.107,27.802,4.617,48.303,0x0F,0x0E,CHARGING
000192464,3.216,-110.240,27.802,4.623,48.303,0x0F,0x0E,CHARGING
000194468,3.220,-110.240,27.907,4.623,48.303,0x0F,0x0E,CHARGING
000196472,3.216,-110.240,27.907,4.623,50.681,0x0F,0x0E,CHARGING
000198475,3.220,-110.240,27.907,4.617,47.511,0x0F,0x0E,CHARGING
000200479,3.220,-110.107,28.012,4.617,48.303,0x0F,0x0E,CHARGING
000202483,3.225,-110.240,27.907,4.617,48.303,0x0F,0x0E,CHARGING
000204488,3.196,-147.826,28.012,4.698,45.133,0x0F,0x0E,CHARGING
000206492,3.196,-147.826,28.117,4.698,43.548,0x0F,0x0E,CHARGING
000208496,3.196,-147.826,28.117,4.698,43.548,0x0F,0x0E,CHARGING
000210499,3.196,-148.005,28.117,4.704,42.755,0x0F,0x0E,CHARGING
000212502,3.196,-147.826,28.223,4.698,42.755,0x0F,0x0E,CHARGING
000214505,3.196,-148.005,28.117,4.704,42.755,0x0F,0x0E,CHARGING
000216508,3.196,-147.826,28.117,4.698,43.548,0x0F,0x0E,CHARGING
000218510,3.196,-147.826,28.223,4.698,42.755,0x0F,0x0E,CHARGING
000220513,3.201,-147.826,28.223,4.692,42.755,0x0F,0x0E,CHARGING
000222515,3.196,-147.826,28.223,4.698,42.755,0x0F,0x0E,CHARGING
000224519,3.196,-147.647,28.328,4.698,42.755,0x0F,0x0E,CHARGING
000226521,3.201,-147.647,28.328,4.692,42.755,0x0F,0x0E,CHARGING
000228525,3.201,-148.005,28.328,4.692,42.755,0x0F,0x0E,CHARGING
000230529,3.201,-148.005,28.434,4.698,42.755,0x0F,0x0E,CHARGING
000232533,3.196,-148.005,28.751,4.704,45.133,0x0F,0x0E,CHARGING
000234537,3.196,-148.005,28.434,4.698,42.755,0x0F,0x0E,CHARGING
000236540,3.201,-148.005,28.434,4.698,41.963,0x0F,0x0E,CHARGING
000238544,3.206,-148.005,28.434,4.698,41.963,0x0F,0x0E,CHARGING
000240547,3.201,-148.720,28.539,4.698,41.963,0x0F,0x0E,CHARGING
000242550,3.206,-148.005,28.434,4.698,42.755,0x0F,0x0E,CHARGING
000244552,3.206,-147.826,28.539,4.698,41.963,0x0F,0x0E,CHARGING
000246556,3.206,-148.005,28.539,4.704,42.755,0x0F,0x0E,CHARGING
000248560,3.206,-147.826,28.539,4.698,41.963,0x0F,0x0E,CHARGING
000250564,3.206,-148.005,28.539,4.704,45.133,0x0F,0x0E,CHARGING
000252568,3.206,-148.005,28.539,4.698,42.755,0x0F,0x0E,CHARGING
000254572,3.206,-148.362,28.645,4.698,41.963,0x0F,0x0E,CHARGING
000256576,3.211,-148.005,28.645,4.698,41.963,0x0F,0x0E,CHARGING
000258580,3.206,-148.362,28.645,4.692,41.963,0x0F,0x0E,CHARGING
000260584,3.206,-148.183,28.751,4.698,41.963,0x0F,0x0E,CHARGING
000262588,3.211,-148.183,28.645,4.698,42.755,0x0F,0x0E,CHARGING
000264592,3.206,-148.183,28.751,4.692,41.963,0x0F,0x0E,CHARGING
000266596,3.211,-147.826,28.751,4.698,41.963,0x0F,0x0E,CHARGING
000268600,3.211,-148.005,28.751,4.698,41.963,0x0F,0x0E,CHARGING
000270604,3.216,-148.183,28.434,4.698,41.963,0x0F,0x0E,CHARGING
000272608,3.216,-148.005,28.751,4.698,41.963,0x0F,0x0E,CHARGING
000274611,3.216,-148.005,28.751,4.704,41.963,0x0F,0x0E,CHARGING
000276613,3.216,-147.826,28.857,4.698,41.963,0x0F,0x0E,CHARGING
000278616,3.216,-148.005,28.857,4.698,41.963,0x0F,0x0E,CHARGING
000280620,3.211,-147.826,28.857,4.698,41.170,0x0F,0x0E,CHARGING
000282622,3.216,-147.826,28.857,4.698,41.963,0x0F,0x0E,CHARGING
000284626,3.216,-148.005,28.857,4.698,41.963,0x0F,0x0E,CHARGING
000286630,3.216,-148.005,28.857,4.704,41.963,0x0F,0x0E,CHARGING
000288634,3.216,-148.183,28.857,4.698,41.170,0x0F,0x0E,CHARGING
000290638,3.216,-148.362,28.963,4.698,41.963,0x0F,0x0E,CHARGING
000292641,3.216,-148.005,28.963,4.711,42.755,0x0F,0x0E,CHARGING
000294645,3.216,-148.183,28.963,4.698,41.963,0x0F,0x0E,CHARGING
000296649,3.216,-148.183,29.069,4.698,41.170,0x0F,0x0E,CHARGING
000298651,3.216,-148.183,29.069,4.704,41.963,0x0F,0x0E,CHARGING
000300653,3.220,-148.183,28.963,4.692,42.755,0x0F,0x0E,CHARGING
000302655,3.216,-148.183,29.069,4.698,41.963,0x0F,0x0E,CHARGING
000304658,3.235,-187.200,29.069,4.655,43.548,0x0F,0x0E,CHARGING
000306661,3.235,-186.750,29.069,4.667,43.548,0x0F,0x0E,CHARGING
000308664,3.240,-186.525,29.069,4.661,44.340,0x0F,0x0E,CHARGING
000310667,3.235,-187.200,29.069,4.661,43.548,0x0F,0x0E,CHARGING
000312669,3.240,-186.975,29.069,4.655,44.340,0x0F,0x0E,CHARGING
000314672,3.240,-186.975,29.175,4.661,43.548,0x0F,0x0E,CHARGING
000316676,3.240,-186.750,29.601,4.655,44.340,0x0F,0x0E,CHARGING
000318679,3.245,-186.975,29.175,4.661,44.340,0x0F,0x0E,CHARGING
000320683,3.245,-186.975,29.069,4.661,43.548,0x0F,0x0E,CHARGING
000322687,3.245,-186.750,29.175,4.667,44.340,0x0F,0x0E,CHARGING
000324691,3.245,-187.200,29.175,4.661,45.133,0x0F,0x0E,CHARGING
000326694,3.245,-187.200,29.175,4.661,44.340,0x0F,0x0E,CHARGING
000328697,3.250,-186.975,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000330699,3.245,-187.200,29.281,4.655,47.511,0x0F,0x0E,CHARGING
000332703,3.255,-186.975,29.281,4.661,44.340,0x0F,0x0E,CHARGING
000334707,3.250,-187.425,29.281,4.661,45.133,0x0F,0x0E,CHARGING
000336710,3.255,-186.975,29.281,4.661,44.340,0x0F,0x0E,CHARGING
000338712,3.250,-187.200,29.281,4.661,44.340,0x0F,0x0E,CHARGING
000340716,3.250,-186.975,29.281,4.661,44.340,0x0F,0x0E,CHARGING
000342720,3.255,-186.750,29.388,4.655,44.340,0x0F,0x0E,CHARGING
000344723,3.255,-186.975,29.388,4.655,44.340,0x0F,0x0E,CHARGING
000346727,3.255,-187.200,29.388,4.661,44.340,0x0F,0x0E,CHARGING
000348731,3.255,-186.975,29.281,4.661,44.340,0x0F,0x0E,CHARGING
000350735,3.255,-187.425,29.388,4.661,44.340,0x0F,0x0E,CHARGING
000352737,3.255,-186.975,29.388,4.661,44.340,0x0F,0x0E,CHARGING
000354741,3.255,-186.975,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000356745,3.260,-187.425,29.388,4.667,44.340,0x0F,0x0E,CHARGING
000358749,3.260,-187.425,29.388,4.661,44.340,0x0F,0x0E,CHARGING
000360753,3.260,-187.425,29.388,4.655,44.340,0x0F,0x0E,CHARGING
000362755,3.260,-186.975,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000364758,3.260,-187.200,29.388,4.661,45.133,0x0F,0x0E,CHARGING
000366761,3.260,-188.100,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000368765,3.260,-187.425,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000370769,3.264,-186.975,29.388,4.661,43.548,0x0F,0x0E,CHARGING
000372773,3.264,-187.200,29.494,4.655,44.340,0x0F,0x0E,CHARGING
000374776,3.264,-186.975,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000376778,3.264,-187.200,29.494,4.661,45.133,0x0F,0x0E,CHARGING
000378780,3.264,-187.200,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000380781,3.264,-187.200,29.494,4.667,44.340,0x0F,0x0E,CHARGING
000382784,3.264,-187.425,29.388,4.661,43.548,0x0F,0x0E,CHARGING
000384786,3.264,-186.975,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000386789,3.264,-186.975,29.601,4.661,44.340,0x0F,0x0E,CHARGING
000388790,3.269,-187.425,29.601,4.655,44.340,0x0F,0x0E,CHARGING
000390794,3.269,-187.425,29.494,4.661,44.340,0x0F,0x0E,CHARGING
000392798,3.269,-187.425,29.494,4.655,45.133,0x0F,0x0E,CHARGING
000394801,3.269,-187.200,29.708,4.661,44.340,0x0F,0x0E,CHARGING
000396803,3.274,-187.425,29.601,4.655,44.340,0x0F,0x0E,CHARGING
000398805,3.274,-186.975,29.601,4.673,44.340,0x0F,0x0E,CHARGING
000400809,3.274,-189.000,29.708,4.661,45.133,0x0F,0x0E,CHARGING
000402812,3.274,-187.650,29.601,4.661,44.340,0x0F,0x0E,CHARGING
000404817,3.289,-72.105,29.601,4.617,45.133,0x0F,0x0E,CHARGING
000406821,3.289,-72.105,29.708,4.617,46.718,0x0F,0x0E,CHARGING
000408824,3.294,-72.105,29.708,4.617,46.718,0x0F,0x0E,CHARGING
000410828,3.294,-72.018,29.281,4.623,43.548,0x0F,0x0E,CHARGING
000412832,3.294,-72.018,29.281,4.623,43.548,0x0F,0x0E,CHARGING
000414834,3.294,-72.105,29.708,4.617,46.718,0x0F,0x0E,CHARGING
000416838,3.294,-72.105,29.708,4.617,46.718,0x0F,0x0E,CHARGING
000418842,3.299,-72.105,29.708,4.630,46.718,0x0F,0x0E,CHARGING
000420845,3.299,-72.105,29.708,4.623,46.718,0x0F,0x0E,CHARGING
000422847,3.299,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000424851,3.299,-72.105,29.708,4.623,46.718,0x0F,0x0E,CHARGING
000426854,3.299,-72.018,29.708,4.617,47.511,0x0F,0x0E,CHARGING
000428858,3.299,-72.105,29.708,4.617,47.511,0x0F,0x0E,CHARGING
000430860,3.299,-72.105,29.708,4.617,46.718,0x0F,0x0E,CHARGING
000432863,3.304,-72.105,29.708,4.617,44.340,0x0F,0x0E,CHARGING
000434867,3.304,-72.018,29.815,4.630,46.718,0x0F,0x0E,CHARGING
000436869,3.304,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000438873,3.299,-72.018,29.708,4.617,47.511,0x0F,0x0E,CHARGING
000440875,3.304,-72.105,29.815,4.623,46.718,0x0F,0x0E,CHARGING
000442879,3.304,-72.105,29.815,4.617,48.303,0x0F,0x0E,CHARGING
000444883,3.304,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000446887,3.304,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000448891,3.304,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000450895,3.304,-72.105,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000452898,3.308,-72.191,29.815,4.630,46.718,0x0F,0x0E,CHARGING
000454902,3.308,-72.191,29.815,4.623,46.718,0x0F,0x0E,CHARGING
000456904,3.308,-72.191,29.815,4.617,47.511,0x0F,0x0E,CHARGING
000458907,3.308,-72.105,29.815,4.623,47.511,0x0F,0x0E,CHARGING
000460911,3.308,-72.191,29.922,4.623,46.718,0x0F,0x0E,CHARGING
000462914,3.304,-72.191,29.815,4.623,47.511,0x0F,0x0E,CHARGING
000464918,3.308,-72.105,29.922,4.623,47.511,0x0F,0x0E,CHARGING
000466922,3.308,-72.105,29.815,4.623,46.718,0x0F,0x0E,CHARGING
000468926,3.308,-72.018,29.922,4.617,47.511,0x0F,0x0E,CHARGING
000470930,3.308,-72.105,29.922,4.623,47.511,0x0F,0x0E,CHARGING
000472934,3.308,-72.191,29.815,4.630,45.926,0x0F,0x0E,CHARGING
000474937,3.308,-72.105,29.922,4.617,47.511,0x0F,0x0E,CHARGING
000476939,3.308,-72.105,29.922,4.623,46.718,0x0F,0x0E,CHARGING
000478943,3.308,-72.105,29.922,4.617,43.548,0x0F,0x0E,CHARGING
000480947,3.308,-72.105,29.922,4.623,47.511,0x0F,0x0E,CHARGING
000482949,3.308,-72.105,29.922,4.617,47.511,0x0F,0x0E,CHARGING
000484952,3.313,-72.105,30.029,4.617,46.718,0x0F,0x0E,CHARGING
000486956,3.313,-72.277,30.029,4.617,47.511,0x0F,0x0E,CHARGING
000488960,3.313,-72.105,29.922,4.630,47.511,0x0F,0x0E,CHARGING
000490963,3.308,-72.105,29.922,4.630,46.718,0x0F,0x0E,CHARGING
000492967,3.313,-72.191,29.922,4.623,44.340,0x0F,0x0E,CHARGING
000494970,3.313,-72.018,29.922,4.617,47.511,0x0F,0x0E,CHARGING
000496973,3.313,-72.105,29.922,4.617,46.718,0x0F,0x0E,CHARGING
000498977,3.313,-72.105,30.029,4.623,46.718,0x0F,0x0E,CHARGING
000500981,3.313,-72.018,30.351,4.623,46.718,0x0F,0x0E,CHARGING
000502984,3.313,-72.191,29.922,4.623,46.718,0x0F,0x0E,CHARGING
000504990,3.274,-109.975,30.029,4.742,42.755,0x0F,0x0E,CHARGING
000506994,3.264,-109.710,30.029,4.742,40.377,0x0F,0x0E,CHARGING
000508998,3.269,-109.842,29.922,4.748,40.377,0x0F,0x0E,CHARGING
000511002,3.264,-109.577,29.922,4.748,40.377,0x0F,0x0E,CHARGING
000513006,3.269,-109.842,30.029,4.742,40.377,0x0F,0x0E,CHARGING
000515010,3.269,-109.842,30.029,4.742,40.377,0x0F,0x0E,CHARGING
000517012,3.269,-109.710,29.922,4.742,39.585,0x0F,0x0E,CHARGING
000519015,3.264,-109.710,29.922,4.742,39.585,0x0F,0x0E,CHARGING
000521019,3.260,-109.975,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000523023,3.264,-109.842,30.029,4.748,38.792,0x0F,0x0E,CHARGING
000525026,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000527030,3.264,-109.710,29.922,4.736,38.792,0x0F,0x0E,CHARGING
000529034,3.264,-109.710,29.922,4.742,39.585,0x0F,0x0E,CHARGING
000531037,3.264,-109.842,29.922,4.754,39.585,0x0F,0x0E,CHARGING
000533041,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000535043,3.269,-109.710,30.029,4.742,39.585,0x0F,0x0E,CHARGING
000537047,3.264,-109.842,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000539051,3.264,-109.710,30.029,4.748,39.585,0x0F,0x0E,CHARGING
000541055,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000543057,3.264,-109.577,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000545060,3.264,-109.577,29.922,4.748,38.792,0x0F,0x0E,CHARGING
000547062,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000549066,3.264,-109.975,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000551070,3.264,-109.710,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000553073,3.264,-109.577,30.029,4.748,38.000,0x0F,0x0E,CHARGING
000555077,3.269,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000557081,3.264,-109.710,29.922,4.729,38.792,0x0F,0x0E,CHARGING
000559084,3.264,-109.710,30.029,4.742,39.585,0x0F,0x0E,CHARGING
000561087,3.269,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000563089,3.264,-109.710,30.351,4.736,38.792,0x0F,0x0E,CHARGING
000565093,3.264,-109.842,29.922,4.742,38.000,0x0F,0x0E,CHARGING
000567096,3.264,-109.842,29.922,4.748,38.792,0x0F,0x0E,CHARGING
000569099,3.264,-109.710,30.458,4.742,38.792,0x0F,0x0E,CHARGING
000571103,3.264,-109.710,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000573107,3.264,-109.710,29.922,4.736,38.792,0x0F,0x0E,CHARGING
000575110,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000577112,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000579115,3.264,-109.577,30.029,4.748,38.792,0x0F,0x0E,CHARGING
000581119,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000583123,3.264,-109.842,29.922,4.742,38.000,0x0F,0x0E,CHARGING
000585126,3.264,-109.710,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000587130,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000589132,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000591136,3.264,-109.577,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000593140,3.264,-109.710,30.029,4.736,38.000,0x0F,0x0E,CHARGING
000595144,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000597148,3.264,-109.842,29.922,4.742,38.792,0x0F,0x0E,CHARGING
000599152,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000601155,3.264,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000603157,3.269,-109.710,30.029,4.742,38.792,0x0F,0x0E,CHARGING
000605162,3.279,-148.362,30.029,4.698,40.377,0x0F,0x0E,CHARGING
000607166,3.279,-148.362,30.029,4.704,39.585,0x0F,0x0E,CHARGING
000609169,3.279,-148.541,30.029,4.704,41.170,0x0F,0x0E,CHARGING
000611171,3.279,-148.720,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000613172,3.279,-148.541,30.458,4.698,41.170,0x0F,0x0E,CHARGING
000615175,3.279,-148.362,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000617179,3.284,-148.541,30.458,4.698,41.170,0x0F,0x0E,CHARGING
000619183,3.284,-148.541,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000621185,3.284,-148.541,30.029,4.704,41.170,0x0F,0x0E,CHARGING
000623189,3.284,-148.541,30.029,4.704,41.963,0x0F,0x0E,CHARGING
000625193,3.284,-148.720,30.029,4.704,41.170,0x0F,0x0E,CHARGING
000627197,3.279,-148.720,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000629199,3.279,-148.362,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000631202,3.284,-148.362,30.029,4.711,41.963,0x0F,0x0E,CHARGING
000633206,3.284,-148.720,30.029,4.704,41.170,0x0F,0x0E,CHARGING
000635208,3.279,-148.541,29.922,4.698,41.170,0x0F,0x0E,CHARGING
000637211,3.279,-148.362,30.029,4.698,41.963,0x0F,0x0E,CHARGING
000639214,3.284,-148.541,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000641218,3.284,-148.720,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000643222,3.279,-148.720,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000645225,3.279,-148.541,30.029,4.704,41.963,0x0F,0x0E,CHARGING
000647228,3.284,-148.183,30.029,4.704,41.170,0x0F,0x0E,CHARGING
000649232,3.284,-148.720,30.136,4.698,41.170,0x0F,0x0E,CHARGING
000651235,3.284,-148.362,30.029,4.698,41.963,0x0F,0x0E,CHARGING
000653238,3.284,-148.362,30.136,4.698,41.963,0x0F,0x0E,CHARGING
000655242,3.284,-148.541,30.136,4.704,41.963,0x0F,0x0E,CHARGING
000657246,3.284,-148.362,30.136,4.704,41.170,0x0F,0x0E,CHARGING
000659250,3.284,-148.362,30.029,4.692,41.963,0x0F,0x0E,CHARGING
000661252,3.284,-148.720,30.029,4.692,41.170,0x0F,0x0E,CHARGING
000663255,3.284,-148.362,30.458,4.698,41.963,0x0F,0x0E,CHARGING
000665259,3.284,-148.898,30.029,4.711,41.170,0x0F,0x0E,CHARGING
000667263,3.284,-148.720,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000669267,3.284,-148.898,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000671271,3.284,-148.541,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000673275,3.284,-148.541,30.029,4.698,41.170,0x0F,0x0E,CHARGING
000675277,3.284,-148.541,30.136,4.698,41.170,0x0F,0x0E,CHARGING
000677280,3.284,-148.720,30.136,4.704,41.170,0x0F,0x0E,CHARGING
000679283,3.284,-148.541,30.136,4.698,41.170,0x0F,0x0E,CHARGING
000681286,3.284,-148.362,30.136,4.698,41.170,0x0F,0x0E,CHARGING
